(1, 1, 7, 5.385164807134504)
(1, 1, 10, 2.0)
(1, 1, 15, 1.0)
(1, 1, 19, 6.324555320336759)
(2, 1, 3, 6.4031242374328485)
(2, 1, 10, 2.23606797749979)
(2, 1, 17, 6.0)
(2, 1, 20, 4.123105625617661)
(3, 1, 3, 5.656854249492381)
(3, 1, 5, 5.0990195135927845)
(3, 1, 10, 1.4142135623730951)
(3, 1, 13, 4.0)
(3, 1, 14, 4.242640687119285)
(3, 1, 15, 1.4142135623730951)
(3, 1, 16, 2.23606797749979)
(3, 1, 17, 5.385164807134504)
(3, 1, 18, 3.1622776601683795)
(3, 1, 20, 5.385164807134504)
(4, 1, 3, 6.324555320336759)
(4, 1, 4, 6.082762530298219)
(4, 1, 5, 5.0)
(4, 1, 7, 5.0)
(4, 1, 10, 2.0)
(4, 1, 15, 3.0)
(4, 1, 17, 5.0990195135927845)
(4, 1, 18, 4.242640687119285)
(4, 1, 19, 6.324555320336759)
(5, 1, 10, 2.0)
(5, 1, 13, 6.4031242374328485)
(5, 1, 15, 2.8284271247461903)
(5, 1, 16, 2.0)
(6, 1, 16, 2.0)
(7, 1, 10, 2.23606797749979)
(7, 1, 13, 4.47213595499958)
(7, 1, 15, 3.605551275463989)
(7, 1, 16, 1.4142135623730951)
(7, 1, 18, 6.4031242374328485)
(8, 1, 10, 2.23606797749979)
(8, 1, 15, 2.0)
(8, 1, 16, 2.0)
(8, 1, 17, 6.4031242374328485)
(8, 1, 18, 5.656854249492381)
(8, 1, 19, 5.385164807134504)
(9, 1, 10, 3.0)
(9, 1, 15, 4.47213595499958)
(9, 1, 16, 2.0)
(9, 1, 18, 4.0)
(10, 1, 10, 2.23606797749979)
(10, 1, 13, 4.123105625617661)
(10, 1, 16, 1.4142135623730951)
(10, 1, 17, 5.0990195135927845)
(10, 1, 20, 6.082762530298219)
(10, 1, 21, 5.830951894845301)
(11, 1, 5, 4.0)
(11, 1, 10, 1.4142135623730951)
(11, 1, 13, 2.8284271247461903)
(11, 1, 15, 6.082762530298219)
(11, 1, 16, 5.830951894845301)
(11, 1, 17, 4.47213595499958)
(11, 1, 18, 4.47213595499958)
(11, 1, 19, 3.1622776601683795)
(11, 1, 20, 5.385164807134504)
(12, 1, 6, 5.830951894845301)
(12, 1, 8, 4.47213595499958)
(12, 1, 10, 2.23606797749979)
(12, 1, 14, 6.082762530298219)
(12, 1, 15, 4.123105625617661)
(12, 1, 16, 4.123105625617661)
(12, 1, 17, 6.4031242374328485)
(12, 1, 18, 5.0)
(12, 1, 19, 4.0)
(12, 1, 20, 6.082762530298219)
(13, 1, 3, 4.123105625617661)
(13, 1, 5, 5.0)
(13, 1, 6, 4.47213595499958)
(13, 1, 10, 2.23606797749979)
(13, 1, 13, 4.0)
(13, 1, 16, 4.0)
(13, 1, 17, 2.8284271247461903)
(13, 1, 18, 5.0990195135927845)
(13, 1, 19, 6.082762530298219)
(13, 1, 21, 6.4031242374328485)
(14, 1, 6, 5.0990195135927845)
(14, 1, 8, 2.8284271247461903)
(14, 1, 10, 2.23606797749979)
(14, 1, 11, 3.605551275463989)
(14, 1, 13, 3.0)
(14, 1, 16, 5.385164807134504)
(14, 1, 17, 5.0)
(14, 1, 18, 5.0)
(14, 1, 19, 3.605551275463989)
(15, 1, 3, 5.0990195135927845)
(15, 1, 5, 6.4031242374328485)
(15, 1, 10, 2.0)
(15, 1, 13, 5.0)
(15, 1, 16, 2.23606797749979)
(15, 1, 17, 4.242640687119285)
(15, 1, 18, 5.0)
(15, 1, 19, 5.656854249492381)
(15, 1, 21, 3.0)
(16, 1, 3, 6.082762530298219)
(16, 1, 5, 2.0)
(16, 1, 10, 2.0)
(16, 1, 11, 2.8284271247461903)
(16, 1, 13, 4.242640687119285)
(16, 1, 16, 5.385164807134504)
(16, 1, 17, 5.0)
(16, 1, 18, 5.0)
(16, 1, 19, 4.123105625617661)
(17, 1, 3, 3.1622776601683795)
(17, 1, 5, 5.385164807134504)
(17, 1, 7, 5.0)
(17, 1, 10, 2.8284271247461903)
(17, 1, 11, 2.8284271247461903)
(17, 1, 13, 5.0)
(17, 1, 18, 4.47213595499958)
(17, 1, 19, 2.0)
(17, 1, 21, 4.47213595499958)
(18, 1, 3, 3.605551275463989)
(18, 1, 5, 4.242640687119285)
(18, 1, 10, 2.0)
(18, 1, 13, 5.385164807134504)
(18, 1, 17, 5.0)
(18, 1, 18, 5.0)
(18, 1, 19, 6.0)
(19, 1, 5, 6.324555320336759)
(19, 1, 7, 6.0)
(19, 1, 10, 2.8284271247461903)
(19, 1, 11, 3.0)
(19, 1, 13, 3.1622776601683795)
(19, 1, 17, 5.0)
(19, 1, 18, 3.0)
(19, 1, 19, 5.0990195135927845)
(20, 1, 3, 2.23606797749979)
(20, 1, 5, 4.123105625617661)
(20, 1, 7, 5.0990195135927845)
(20, 1, 13, 3.0)
(20, 1, 17, 6.324555320336759)
(20, 1, 18, 5.0)
(20, 1, 19, 4.123105625617661)
(21, 1, 3, 3.0)
(21, 1, 5, 5.0)
(21, 1, 7, 4.0)
(21, 1, 10, 2.0)
(21, 1, 11, 3.0)
(21, 1, 18, 6.0)
(22, 1, 5, 6.4031242374328485)
(22, 1, 7, 4.123105625617661)
(22, 1, 10, 2.8284271247461903)
(22, 1, 11, 2.8284271247461903)
(22, 1, 17, 4.0)
(22, 1, 18, 5.385164807134504)
(22, 1, 19, 6.324555320336759)
(23, 1, 10, 3.1622776601683795)
(23, 1, 11, 4.242640687119285)
(23, 1, 18, 6.0)
(23, 1, 19, 6.4031242374328485)
(24, 1, 3, 6.082762530298219)
(24, 1, 5, 3.0)
(24, 1, 10, 3.0)
(24, 1, 11, 2.0)
(24, 1, 16, 6.324555320336759)
(24, 1, 17, 6.4031242374328485)
(24, 1, 18, 3.605551275463989)
(24, 1, 19, 5.385164807134504)
(25, 1, 5, 5.385164807134504)
(25, 1, 10, 3.605551275463989)
(25, 1, 11, 5.830951894845301)
(25, 1, 16, 5.385164807134504)
(25, 1, 17, 5.830951894845301)
(25, 1, 18, 3.605551275463989)
(26, 1, 3, 2.0)
(26, 1, 5, 2.8284271247461903)
(26, 1, 7, 4.47213595499958)
(26, 1, 10, 2.0)
(26, 1, 11, 4.0)
(26, 1, 16, 2.23606797749979)
(26, 1, 17, 2.0)
(26, 1, 18, 4.123105625617661)
(1, 2, 3, 6.324555320336759)
(1, 2, 4, 5.385164807134504)
(1, 2, 10, 3.0)
(1, 2, 15, 5.0)
(2, 2, 10, 5.0990195135927845)
(2, 2, 15, 5.0)
(3, 2, 4, 5.656854249492381)
(3, 2, 10, 3.605551275463989)
(3, 2, 15, 4.47213595499958)
(4, 2, 4, 5.830951894845301)
(4, 2, 10, 4.123105625617661)
(4, 2, 15, 4.47213595499958)
(5, 2, 4, 6.4031242374328485)
(5, 2, 10, 5.0990195135927845)
(5, 2, 15, 4.47213595499958)
(7, 2, 10, 3.1622776601683795)
(8, 2, 10, 4.242640687119285)
(9, 2, 10, 3.605551275463989)
(10, 2, 10, 5.385164807134504)
(11, 2, 10, 6.082762530298219)
(12, 2, 10, 6.082762530298219)
(13, 2, 10, 5.385164807134504)
(15, 2, 10, 5.0990195135927845)
(16, 2, 10, 5.0)
(17, 2, 10, 6.324555320336759)
(18, 2, 10, 4.47213595499958)
(24, 2, 10, 3.605551275463989)
(25, 2, 10, 4.47213595499958)
(26, 2, 10, 3.1622776601683795)
(1, 3, 2, 1.4142135623730951)
(1, 3, 4, 1.4142135623730951)
(1, 3, 7, 2.23606797749979)
(1, 3, 13, 1.0)
(1, 3, 17, 6.082762530298219)
(2, 3, 1, 1.4142135623730951)
(2, 3, 4, 1.4142135623730951)
(2, 3, 7, 2.23606797749979)
(2, 3, 10, 1.0)
(2, 3, 13, 1.0)
(2, 3, 17, 2.0)
(2, 3, 19, 1.4142135623730951)
(3, 3, 1, 2.23606797749979)
(3, 3, 4, 1.0)
